Date,Settlement_Period,Generator_Name,Generator_Full_Name,BOA_Volume
2021-04-01,1,CLDCW-1,Clyde Central,-65.434
2021-04-01,1,CLDNW-1,Clyde North,-66.466
2021-04-01,2,CLDCW-1,Clyde Central,-125.884
2021-04-01,2,CLDNW-1,Clyde North,-128.916
2021-04-01,2,WHILW-2,Whitelee 2,-161.1
2021-04-01,3,CLDCW-1,Clyde Central,-28.934
2021-04-01,3,CLDNW-1,Clyde North,-51.2
2021-04-01,3,WHILW-2,Whitelee 2,-178.734
2021-04-01,8,WHILW-2,Whitelee 2,-1.2
2021-04-01,9,CLDCW-1,Clyde Central,-81.45
2021-04-01,9,CLDNW-1,Clyde North,-82.484
2021-04-01,9,CLDSW-1,Clyde South,-14.3
2021-04-01,9,WHILW-1,Whitelee 1,-101.816
2021-04-01,9,WHILW-2,Whitelee 2,-131
2021-04-01,10,CLDCW-1,Clyde Central,-79.884
2021-04-01,10,CLDNW-1,Clyde North,-80.934
2021-04-01,10,CLDSW-1,Clyde South,-17.966
2021-04-01,10,WHILW-1,Whitelee 1,-140.15
2021-04-01,10,WHILW-2,Whitelee 2,-117.8
2021-04-01,11,CLDCW-1,Clyde Central,-23.016
2021-04-01,11,CLDNW-1,Clyde North,-40.5
2021-04-01,11,KPMRW-1,Kype Muir,-0.14
2021-04-01,11,PNYCW-1,Pen-y-Cymoedd,-1.436
2021-04-01,11,WHILW-1,Whitelee 1,-21.684
2021-04-01,12,CLDCW-1,Clyde Central,-76.934
2021-04-01,12,CLDNW-1,Clyde North,-72
2021-04-01,12,KPMRW-1,Kype Muir,-31.262
2021-04-01,12,PNYCW-1,Pen-y-Cymoedd,-128.198
2021-04-01,12,WDNSO-2,West of Duddon Sands 2,-72.434
2021-04-01,12,WHILW-1,Whitelee 1,-118.184
2021-04-01,12,WLNYO-2,Walney 2,-46.794
2021-04-01,13,CLDCW-1,Clyde Central,-26.25
2021-04-01,13,CLDNW-1,Clyde North,-34.8
2021-04-01,13,KPMRW-1,Kype Muir,-23.214
2021-04-01,13,PNYCW-1,Pen-y-Cymoedd,-97.666
2021-04-01,13,WDNSO-2,West of Duddon Sands 2,-74
2021-04-01,13,WHILW-1,Whitelee 1,-117.016
2021-04-01,13,WLNYO-2,Walney 2,-54.5
2021-04-01,14,WDNSO-2,West of Duddon Sands 2,-40.084
2021-04-01,14,WHILW-1,Whitelee 1,-71.55
2021-04-01,14,WLNYO-2,Walney 2,-7.858
2021-04-04,15,DOREW-1,Dorenell 1,-0.154
2021-04-04,15,DOREW-2,Dorenell 2,-20.25
2021-04-04,16,BRDUW-1,Braes of Doune,-9.816
2021-04-04,16,CLDRW-1,Clashindarroch,-20.416
2021-04-04,16,DOREW-1,Dorenell 1,-82.8
2021-04-04,16,DOREW-2,Dorenell 2,-81
2021-04-04,16,MILWW-1,Millennium,-22.75
2021-04-04,16,STRNW-1,Strathy North,-56.534
2021-04-04,17,BDCHW-1,Bad A Cheo,-4.55
2021-04-04,17,BRDUW-1,Braes of Doune,-34
2021-04-04,17,CLDRW-1,Clashindarroch,-26
2021-04-04,17,DOREW-1,Dorenell 1,-96
2021-04-04,17,DOREW-2,Dorenell 2,-81
2021-04-04,17,MILWW-1,Millennium,-65
2021-04-04,17,STRNW-1,Strathy North,-64
2021-04-04,18,BDCHW-1,Bad A Cheo,-21
2021-04-04,18,BRDUW-1,Braes of Doune,-40
2021-04-04,18,CLDRW-1,Clashindarroch,-26
2021-04-04,18,DOREW-1,Dorenell 1,-96
2021-04-04,18,DOREW-2,Dorenell 2,-81
2021-04-04,18,MILWW-1,Millennium,-65
2021-04-04,18,STRNW-1,Strathy North,-64.016
2021-04-04,19,BDCHW-1,Bad A Cheo,-21
2021-04-04,19,BRDUW-1,Braes of Doune,-48
2021-04-04,19,CLDRW-1,Clashindarroch,-26
2021-04-04,19,DOREW-1,Dorenell 1,-96
2021-04-04,19,DOREW-2,Dorenell 2,-81
2021-04-04,19,MILWW-1,Millennium,-65
2021-04-04,19,STRNW-1,Strathy North,-65
2021-04-04,20,BDCHW-1,Bad A Cheo,-19.25
2021-04-04,20,BHLAW-1,Bhlaraidh,-73.516
2021-04-04,20,BRDUW-1,Braes of Doune,-53
2021-04-04,20,CLDRW-1,Clashindarroch,-26
2021-04-04,20,DOREW-1,Dorenell 1,-96
2021-04-04,20,DOREW-2,Dorenell 2,-81
2021-04-04,20,MILWW-1,Millennium,-65
2021-04-04,20,STRNW-1,Strathy North,-66
2021-04-04,21,BHLAW-1,Bhlaraidh,-106.016
2021-04-04,21,BRDUW-1,Braes of Doune,-56
2021-04-04,21,CLDRW-1,Clashindarroch,-26.5
2021-04-04,21,DOREW-1,Dorenell 1,-96
2021-04-04,21,DOREW-2,Dorenell 2,-81
2021-04-04,21,FAARW-1,Farr 1,-2.666
2021-04-04,21,FAARW-2,Farr 2,-2.186
2021-04-04,21,MILWW-1,Millennium,-65
2021-04-04,21,STRNW-1,Strathy North,-66.016
2021-04-04,22,BHLAW-1,Bhlaraidh,-107
2021-04-04,22,BRDUW-1,Braes of Doune,-57
2021-04-04,22,BRYBW-1,Berry Burn,-5.716
2021-04-04,22,CLDRW-1,Clashindarroch,-27
2021-04-04,22,DOREW-1,Dorenell 1,-96
2021-04-04,22,DOREW-2,Dorenell 2,-81
